Lab,Threshold,Total,Saved,FN,Saved%,FN_per_total%,FN_among_cancelled%,MAE,SMAPE_med%,ROC_AUC
HGB,0.95,1,0,0,0.0,0.0,0.0,0.1235,1.1,
MCV,0.95,1,0,0,0.0,0.0,0.0,4.336,5.0,
MPV,0.95,3,0,0,0.0,0.0,0.0,0.3852,6.5,
Magnesium,0.95,2,0,0,0.0,0.0,0.0,0.7077,40.4,
PLT,0.95,2,0,0,0.0,0.0,0.0,159.1539,192.0,
RDW,0.95,2,0,0,0.0,0.0,0.0,1.414,6.8,
ALT,0.99,1,1,0,100.0,0.0,0.0,7.0065,31.1,
Albumin,0.99,1,0,0,0.0,0.0,0.0,0.0648,1.9,
Bilirubin_total,0.99,1,0,0,0.0,0.0,0.0,0.2709,39.0,
Chloride,0.99,1,1,0,100.0,0.0,0.0,3.0138,3.1,
Creatinine,0.99,1,0,0,0.0,0.0,0.0,0.0295,2.5,
Deoxyhemoglobin,0.99,1,0,0,0.0,0.0,0.0,29.3973,99.0,
Eos_abs,0.99,1,0,0,0.0,0.0,0.0,0.4993,192.3,
Globulin,0.99,1,0,0,0.0,0.0,0.0,1.391,60.4,
HCT,0.99,1,0,0,0.0,0.0,0.0,6.3349,21.0,
HGB,0.99,1,0,0,0.0,0.0,0.0,0.1235,1.1,
MCV,0.99,1,0,0,0.0,0.0,0.0,4.336,5.0,
MPV,0.99,3,0,0,0.0,0.0,0.0,0.3852,6.5,
Magnesium,0.99,2,0,0,0.0,0.0,0.0,0.7077,40.4,
PLT,0.99,2,0,0,0.0,0.0,0.0,159.1539,192.0,
RDW,0.99,2,0,0,0.0,0.0,0.0,1.414,6.8,
